Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
22795,2-Jan-03,12/8/02 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,$110.70 ,Settled,$99.75 ,Settle
0103000L,3-Jan-03,11/11/02 0:00,LAX,Los Angeles International Airport,,Passenger Property Loss,Checkpoint,Other,$15.00 ,Approved,$15.00 ,Approve in Full
0617508L,3-Jan-03,,,,,,Other,Other,,Canceled,,
17978,3-Jan-03,8/25/02 0:00,CLE,Cleveland Hopkins International,,,Other,Luggage (all types including footlockers),$350.00 ,Canceled,,
0105568M,5-Jan-04,12/21/03 0:00,FLL,Ft. Lauderdale-Hollywood International,,,Checked Baggage,Jewelry - Fine,$550.00 ,Settled,$275.00 ,Settle
2.00501E+12,4-Jan-05,11/27/04 0:00,HOU,William P. Hobby,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,$2;000.00 ,Denied,$0.00 ,Deny
2.00501E+12,4-Jan-05,12/26/04 0:00,DEN,Denver International Airport,,Property Damage,Checked Baggage,Luggage (all types including footlockers),$40.00 ,Denied,,Deny
2.00502E+12,4-Jan-05,10/28/04 0:00,GRB,Austin Straubel International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$150.00 ,Denied,$0.00 ,Deny
2.00501E+12,4-Jan-05,12/7/04 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,,Passenger Property Loss,Checked Baggage,Cameras - Digital,$211.04 ,Settled,$105.52 ,Settle
2.00501E+12,4-Jan-05,11/12/04 0:00,LAS,McCarran International,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$278.00 ,Settled,$139.00 ,Settle
2.00501E+12,5-Jan-05,12/5/04 0:00,FLL,Ft. Lauderdale-Hollywood International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,$173.11 ,Approved,$173.11 ,Approve in Full
2.00501E+12,5-Jan-05,11/13/04 0:00,OAK,Metropolitan Oakland International,,Property Damage,Checked Baggage,Luggage (all types including footlockers),$24.00 ,Approved,$24.00 ,Approve in Full
2.0051E+12,5-Jan-05,9/4/05 0:00,INL,Falls International,Northwest Airlines,Property Damage,Checked Baggage,Other,$160.00 ,Approved,$160.00 ,Approve in Full
2.00501E+12,5-Jan-05,12/26/04 0:00,BTV,Burlington; VT,USAir,Passenger Property Loss,Checked Baggage,Cell Phones,$569.99 ,Canceled,$0.00 ,
2.00501E+12,5-Jan-05,12/13/04 0:00,,,,Property Damage,Checked Baggage,Computer - Laptop,$19.00 ,Canceled,,
2.00601E+12,10-Jan-06,10/2/05 0:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Locks,$200.00 ,Denied,$0.00 ,Deny
2.00601E+12,10-Jan-06,11/30/05 0:00,PHX,Phoenix Sky Harbor International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,$7;822.38 ,Denied,$0.00 ,Deny
2.00601E+12,10-Jan-06,11/7/05 0:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,$214.95 ,Settled,$107.48 ,Settle
2.00601E+12,10-Jan-06,7/23/05 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$995.00 ,Settled,$50.00 ,Settle
2.00601E+12,10-Jan-06,1/2/06 0:00,SBP,San Luis Obispo,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$60.00 ,Settled,$30.00 ,Settle
2.00601E+12,10-Jan-06,12/25/05 0:00,MEM,Memphis International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,$3;298.00 ,Settled,$1;649.00 ,Settle
2.00601E+12,11-Jan-06,12/19/05 0:00,RSW,Southwest Florida International,Continental Airlines,Property Damage,Checkpoint,Jewelry - Fine,$371.00 ,Approved,$371.00 ,Approve in Full
2.00601E+12,11-Jan-06,12/31/05 0:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cell Phones,$118.16 ,Approved,$118.16 ,Approve in Full
2.00601E+12,11-Jan-06,12/17/05 0:00,BOS,Boston (Logan) International Airport,,Passenger Property Loss,Checkpoint,Jewelry - Fine,$350.00 ,Canceled,$0.00 ,
2.00601E+12,11-Jan-06,12/25/06 0:00,FLO,Florence Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$230.00 ,Canceled,$0.00 ,
2.00502E+12,11-Jan-06,12/3/04 0:00,JAX,Jacksonville International,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,$1;475.00 ,Denied,$0.00 ,Deny
0825021M,,8/3/03 0:00,PDX,Portland International,,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,$477.00 ,Settled,$238.50 ,Settle
0909824M,,10/7/02 0:00,SEA,Seattle-Tacoma International,,Property Damage,Checked Baggage,Other,$1;190.15 ,Settled,$755.80 ,Settle
2.00801E+12,2-Jan-07,12/4/07 0:00,SJC,Norman Y Mineta San Jose International,Continental Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),$350.00 ,Denied,$0.00 ,Deny
